"No.","Time","Source","Destination","Protocol","Length","Info"
"948","2016-09-26 23:03:27.383027","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"1045","2016-09-26 23:03:40.484215","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1080","2016-09-26 23:03:46.774209","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=288 Ack=659 Win=1552 Len=0"
"1081","2016-09-26 23:03:46.796290","192.168.1.240","239.255.255.250","SSDP","163","M-SEARCH * HTTP/1.1 "
"1083","2016-09-26 23:03:46.897616","192.168.1.240","239.255.255.250","SSDP","163","M-SEARCH * HTTP/1.1 "
"1087","2016-09-26 23:03:47.006438","192.168.1.240","239.255.255.250","SSDP","148","M-SEARCH * HTTP/1.1 "
"1088","2016-09-26 23:03:47.107761","192.168.1.240","239.255.255.250","SSDP","148","M-SEARCH * HTTP/1.1 "
"1089","2016-09-26 23:03:47.219445","192.168.1.240","54.239.29.231","TLSv1.2","211","Application Data"
"1091","2016-09-26 23:03:47.448059","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=445 Ack=829 Win=1734 Len=0"
"1092","2016-09-26 23:03:47.478139","192.168.1.240","74.125.34.101","TLSv1.2","97","Encrypted Alert"
"1093","2016-09-26 23:03:47.501118","192.168.1.240","74.125.34.101","TCP","66","45417  >  443 [FIN, ACK] Seq=32 Ack=1 Win=1160 Len=0 TSval=51735121 TSecr=2089364399"
"1094","2016-09-26 23:03:47.501918","192.168.1.240","192.168.1.1","DNS","75","Standard query 0xb58a A www.meethue.com"
"1097","2016-09-26 23:03:47.918245","192.168.1.240","74.125.34.101","TCP","74","39830  >  443 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=51735228 TSecr=0 WS=16"
"1101","2016-09-26 23:03:48.139505","192.168.1.240","74.125.34.101","TCP","66","39830  >  443 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=51735285 TSecr=1177814475"
"1102","2016-09-26 23:03:48.179456","192.168.1.240","74.125.34.101","TCP","97","[TCP Retransmission] 45417  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1160 Len=31 TSval=51735295 TSecr=2089364399"
"1103","2016-09-26 23:03:48.242853","192.168.1.240","74.125.34.101","TLSv1.2","583","Client Hello"
"1111","2016-09-26 23:03:48.470810","192.168.1.240","74.125.34.101","TCP","66","39830  >  443 [ACK] Seq=518 Ack=1419 Win=7216 Len=0 TSval=51735369 TSecr=1177814800"
"1112","2016-09-26 23:03:48.470929","192.168.1.240","74.125.34.101","TCP","66","39830  >  443 [ACK] Seq=518 Ack=2837 Win=10064 Len=0 TSval=51735369 TSecr=1177814800"
"1113","2016-09-26 23:03:48.470993","192.168.1.240","74.125.34.101","TCP","66","39830  >  443 [ACK] Seq=518 Ack=4097 Win=12896 Len=0 TSval=51735369 TSecr=1177814800"
"1115","2016-09-26 23:03:48.693893","192.168.1.240","74.125.34.101","TCP","66","39830  >  443 [ACK] Seq=518 Ack=4720 Win=15728 Len=0 TSval=51735426 TSecr=1177815027"
"1116","2016-09-26 23:03:48.716067","192.168.1.240","74.125.34.101","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1121","2016-09-26 23:03:48.937866","192.168.1.240","74.125.34.101","TLSv1.2","158","Application Data"
"1123","2016-09-26 23:03:49.160628","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1128","2016-09-26 23:03:49.450461","192.168.1.240","54.239.29.231","TLSv1.2","201","Application Data"
"1129","2016-09-26 23:03:49.455590","192.168.1.240","74.125.34.101","TCP","66","39830  >  443 [ACK] Seq=736 Ack=5529 Win=18560 Len=0 TSval=51735622 TSecr=1177815758"
"1130","2016-09-26 23:03:49.588382","192.168.1.240","74.125.34.101","TCP","97","[TCP Retransmission] 45417  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1160 Len=31 TSval=51735656 TSecr=2089364399"
"1133","2016-09-26 23:03:50.003466","192.168.1.240","54.239.29.231","TLSv1.2","335","Application Data"
"1145","2016-09-26 23:03:52.135325","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=873 Ack=870 Win=1734 Len=0"
"1146","2016-09-26 23:03:52.136071","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"1150","2016-09-26 23:03:52.408734","192.168.1.240","74.125.34.101","TCP","97","[TCP Retransmission] 45417  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1160 Len=31 TSval=51736378 TSecr=2089364399"
"1175","2016-09-26 23:03:58.041590","192.168.1.240","74.125.34.101","TCP","97","[TCP Retransmission] 45417  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1160 Len=31 TSval=51737820 TSecr=2089364399"
"1207","2016-09-26 23:04:07.510806","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1212","2016-09-26 23:04:09.307177","192.168.1.240","74.125.34.101","TCP","97","[TCP Retransmission] 45417  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1160 Len=31 TSval=51740704 TSecr=2089364399"
"1246","2016-09-26 23:04:16.187762","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1274","2016-09-26 23:04:22.166182","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"1277","2016-09-26 23:04:22.439832","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=955 Ack=911 Win=1734 Len=0"
"1304","2016-09-26 23:04:27.404878","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"1313","2016-09-26 23:04:31.869627","192.168.1.240","74.125.34.101","TCP","97","[TCP Retransmission] 45417  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1160 Len=31 TSval=51746480 TSecr=2089364399"
"1329","2016-09-26 23:04:34.535243","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1383","2016-09-26 23:04:43.212574","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1405","2016-09-26 23:04:46.804685","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1406)"
"1407","2016-09-26 23:04:46.808318","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1408)"
"1409","2016-09-26 23:04:46.811396","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1410)"
"1411","2016-09-26 23:04:46.815309","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1412)"
"1413","2016-09-26 23:04:46.819174","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1414)"
"1415","2016-09-26 23:04:46.827095","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1416)"
"1417","2016-09-26 23:04:46.830873","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1418)"
"1419","2016-09-26 23:04:46.836019","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1420)"
"1421","2016-09-26 23:04:46.842638","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1422)"
"1423","2016-09-26 23:04:46.846268","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1424)"
"1425","2016-09-26 23:04:46.851730","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1426)"
"1427","2016-09-26 23:04:46.858226","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1428)"
"1429","2016-09-26 23:04:46.861971","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1430)"
"1431","2016-09-26 23:04:46.865905","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1432)"
"1433","2016-09-26 23:04:46.869780","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1434)"
"1435","2016-09-26 23:04:46.878400","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1436)"
"1437","2016-09-26 23:04:46.881490","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1438)"
"1439","2016-09-26 23:04:46.885657","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1440)"
"1441","2016-09-26 23:04:46.889846","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1442)"
"1443","2016-09-26 23:04:46.893414","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=20081/29006, ttl=64 (reply in 1444)"
"1445","2016-09-26 23:04:46.901283","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x471b A www.example.com"
"1446","2016-09-26 23:04:46.901451","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x0131 AAAA www.example.com"
"1449","2016-09-26 23:04:46.914644","192.168.1.240","93.184.216.34","TCP","74","45598  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=51750331 TSecr=0 WS=16"
"1452","2016-09-26 23:04:47.061227","192.168.1.240","93.184.216.34","TCP","66","45598  >  80 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=51750369 TSecr=2697398980"
"1453","2016-09-26 23:04:47.061861","192.168.1.240","93.184.216.34","TCP","66","45598  >  80 [FIN, ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=51750369 TSecr=2697398980"
"1454","2016-09-26 23:04:47.064038","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x61e1 A www.example.net"
"1455","2016-09-26 23:04:47.064189","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x35bd AAAA www.example.net"
"1458","2016-09-26 23:04:47.078944","192.168.1.240","93.184.216.34","TCP","74","45599  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=51750373 TSecr=0 WS=16"
"1460","2016-09-26 23:04:47.213538","192.168.1.240","93.184.216.34","TCP","66","45598  >  80 [ACK] Seq=2 Ack=2 Win=4384 Len=0 TSval=51750408 TSecr=2697399016"
"1462","2016-09-26 23:04:47.225210","192.168.1.240","93.184.216.34","TCP","66","45599  >  80 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=51750411 TSecr=2676210185"
"1463","2016-09-26 23:04:47.225827","192.168.1.240","93.184.216.34","TCP","66","45599  >  80 [FIN, ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=51750411 TSecr=2676210185"
"1464","2016-09-26 23:04:47.227838","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x6161 A www.example.org"
"1465","2016-09-26 23:04:47.227984","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x35bd AAAA www.example.org"
"1469","2016-09-26 23:04:47.244340","192.168.1.240","93.184.216.34","TCP","74","45600  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=51750415 TSecr=0 WS=16"
"1471","2016-09-26 23:04:47.377565","192.168.1.240","93.184.216.34","TCP","66","45599  >  80 [ACK] Seq=2 Ack=2 Win=4384 Len=0 TSval=51750450 TSecr=2676210222"
"1473","2016-09-26 23:04:47.389281","192.168.1.240","93.184.216.34","TCP","66","45600  >  80 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=51750453 TSecr=3206798565"
"1474","2016-09-26 23:04:47.389674","192.168.1.240","93.184.216.34","TCP","66","45600  >  80 [FIN, ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=51750453 TSecr=3206798565"
"1477","2016-09-26 23:04:47.544027","192.168.1.240","93.184.216.34","TCP","66","45600  >  80 [ACK] Seq=2 Ack=2 Win=4384 Len=0 TSval=51750492 TSecr=3206798601"
"1495","2016-09-26 23:04:52.088497","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=955 Ack=952 Win=1734 Len=0"
"1496","2016-09-26 23:04:52.089038","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"1556","2016-09-26 23:05:01.560448","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1586","2016-09-26 23:05:10.238076","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1634","2016-09-26 23:05:16.932852","192.168.1.240","74.125.34.101","TCP","97","[TCP Retransmission] 45417  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1160 Len=31 TSval=51758016 TSecr=2089364399"
"1656","2016-09-26 23:05:22.115924","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"1659","2016-09-26 23:05:22.377138","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1037 Ack=993 Win=1734 Len=0"
"1684","2016-09-26 23:05:27.342299","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"1694","2016-09-26 23:05:28.584326","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1751","2016-09-26 23:05:37.261774","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1780","2016-09-26 23:05:40.882301","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"1781","2016-09-26 23:05:40.883118","192.168.1.240","97.107.128.58","NTP","90","NTP Version 4, client"
"1871","2016-09-26 23:05:50.827794","192.168.1.240","192.168.1.1","DNS","88","Standard query 0xcc63 A device-metrics-us.amazon.com"
"1873","2016-09-26 23:05:51.002875","192.168.1.240","54.239.26.180","TCP","74","42000  >  443 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=51766738 TSecr=0 WS=16"
"1875","2016-09-26 23:05:51.213467","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=1 Ack=1 Win=4384 Len=0"
"1876","2016-09-26 23:05:51.351662","192.168.1.240","54.239.26.180","TLSv1","571","Client Hello"
"1882","2016-09-26 23:05:51.589281","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=518 Ack=1461 Win=7312 Len=0"
"1883","2016-09-26 23:05:51.589401","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=518 Ack=2921 Win=10224 Len=0"
"1884","2016-09-26 23:05:51.589748","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=518 Ack=2976 Win=10224 Len=0"
"1885","2016-09-26 23:05:51.603668","192.168.1.240","54.239.26.180","TLSv1","380","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1890","2016-09-26 23:05:51.823525","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=844 Ack=3035 Win=10224 Len=0"
"1891","2016-09-26 23:05:51.826006","192.168.1.240","54.239.26.180","TLSv1","1514","Application Data"
"1892","2016-09-26 23:05:51.826100","192.168.1.240","54.239.26.180","TLSv1","396","Application Data"
"1894","2016-09-26 23:05:52.045489","192.168.1.240","54.239.26.180","TLSv1","368","Application Data, Application Data"
"1896","2016-09-26 23:05:52.092204","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1037 Ack=1034 Win=1734 Len=0"
"1897","2016-09-26 23:05:52.092739","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"1899","2016-09-26 23:05:52.330185","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=2960 Ack=3200 Win=13152 Len=0"
"1905","2016-09-26 23:05:53.627514","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=2960 Ack=3237 Win=13152 Len=0"
"1906","2016-09-26 23:05:53.672591","192.168.1.240","54.239.26.180","TCP","54","42000  >  443 [ACK] Seq=2960 Ack=3238 Win=13152 Len=0"
"1920","2016-09-26 23:05:55.610530","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1967","2016-09-26 23:06:04.286072","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2028","2016-09-26 23:06:22.123096","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2032","2016-09-26 23:06:22.576328","192.168.1.240","54.239.29.231","TLSv1.2","95","[TCP Spurious Retransmission] , Application Data"
"2033","2016-09-26 23:06:22.635045","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"2038","2016-09-26 23:06:23.490368","192.168.1.240","54.239.29.231","TLSv1.2","95","[TCP Spurious Retransmission] , Application Data"
"2042","2016-09-26 23:06:23.834036","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1119 Ack=1075 Win=1734 Len=0"
"2058","2016-09-26 23:06:27.380974","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"2073","2016-09-26 23:06:31.310600","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2087","2016-09-26 23:06:35.176712","192.168.1.240","97.107.128.58","NTP","90","NTP Version 4, client"
"2188","2016-09-26 23:06:49.684277","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"2193","2016-09-26 23:06:52.089015","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1119 Ack=1116 Win=1734 Len=0"
"2194","2016-09-26 23:06:52.089158","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2213","2016-09-26 23:06:58.337611","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2226","2016-09-26 23:07:00.431825","192.168.1.240","204.11.201.12","NTP","90","NTP Version 4, client"
"2295","2016-09-26 23:07:16.693530","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"2349","2016-09-26 23:07:22.117124","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2356","2016-09-26 23:07:22.392461","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1201 Ack=1157 Win=1734 Len=0"
"2371","2016-09-26 23:07:25.373281","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2383","2016-09-26 23:07:27.357536","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"2388","2016-09-26 23:07:28.623993","192.168.1.240","97.107.128.58","NTP","90","NTP Version 4, client"
"2446","2016-09-26 23:07:43.721017","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"2480","2016-09-26 23:07:49.997934","192.168.1.240","74.125.34.101","TCP","66","39830  >  443 [ACK] Seq=736 Ack=5530 Win=18560 Len=0 TSval=51797201 TSecr=1178056302"
"2490","2016-09-26 23:07:52.103636","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1201 Ack=1198 Win=1734 Len=0"
"2491","2016-09-26 23:07:52.104229","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2495","2016-09-26 23:07:52.389839","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2614","2016-09-26 23:08:10.744694","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"2650","2016-09-26 23:08:19.415828","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2656","2016-09-26 23:08:21.908828","192.168.1.240","97.107.128.58","NTP","90","NTP Version 4, client"
"2658","2016-09-26 23:08:22.131332","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2662","2016-09-26 23:08:22.393318","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1283 Ack=1239 Win=1734 Len=0"
"2678","2016-09-26 23:08:27.134839","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"2743","2016-09-26 23:08:37.771485","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"2785","2016-09-26 23:08:46.445989","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2829","2016-09-26 23:08:52.385390","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2831","2016-09-26 23:08:52.552885","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1324 Ack=1280 Win=1734 Len=0"
"2832","2016-09-26 23:08:52.552990","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2840","2016-09-26 23:08:52.814130","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1365 Ack=1321 Win=1734 Len=0"
"2857","2016-09-26 23:08:57.821872","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"2879","2016-09-26 23:09:03.169850","192.168.1.240","173.71.69.90","NTP","90","NTP Version 4, client"
"2885","2016-09-26 23:09:04.804919","AmazonTe_56:cc:d3","Tp-LinkT_51:33:e9","EAPOL","113","Key (Group Message 2 of 2)"
"2887","2016-09-26 23:09:04.807635","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"2927","2016-09-26 23:09:10.818138","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"2933","2016-09-26 23:09:12.820710","192.168.1.240","97.107.128.58","NTP","90","NTP Version 4, client"
"2943","2016-09-26 23:09:13.472942","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"2978","2016-09-26 23:09:22.798481","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"2983","2016-09-26 23:09:23.041364","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=1406 Ack=1362 Win=1734 Len=0"
"3029","2016-09-26 23:09:31.824764","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"3061","2016-09-26 23:09:40.493964","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"3096","2016-09-26 23:09:46.804627","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=45683/29618, ttl=64 (reply in 3097)"
"3098","2016-09-26 23:09:46.807180","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=45683/29618, ttl=64 (reply in 3099)"
"3100","2016-09-26 23:09:46.811098","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=45683/29618, ttl=64 (reply in 3101)"
